Domain,Phylum,Class,Order,Family,Genus,Species,No. genomes
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,DATEUU01,DATEUU01 sp035283025,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JABABT01,JABABT01 sp014238095,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JABABT01,JABABT01 sp016213525,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACOWB01,JACOWB01 sp016177025,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACOWB01,JACOWB01 sp016187415,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACOWB01,JACOWB01 sp018920185,10
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACPAE01,JACPAE01 sp016181005,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACPAE01,JACPAE01 sp016187385,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACPJS01,JACPJS01 sp016187405,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JACQIA01,JACQIA01 sp016198705,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAGVVV01,JAGVVV01 sp018304615,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAPLUY01,JAPLUY01 sp026397385,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JASEGN01,JASEGN01 sp030018055,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JASEGQ01,JASEGQ01 sp030017875,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAUWXZ01,JAUWXZ01 sp030616125,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAUWZS01,JAUWZS01 sp030615205,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01 sp038998365,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01 sp038998585,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01 sp038999725,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01 sp039000415,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01 sp039000425,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01 sp039000685,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZGQ01,JAVZGQ01 sp039090665,4
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01 sp037440965,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01 sp038998335,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01 sp039000165,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01 sp039004015,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAVZHQ01,JAVZHQ01 sp039091285,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAWADS01,JAWADS01 sp038998625,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAWCEU01,JAWCEU01 sp039092155,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,JAWCME01,JAWCME01 sp039091335,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SCSR01,SCSR01,SCSR01 sp004297575,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAGGZO01,JAGGZO01 sp021161995,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01 sp018920305,5
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01 sp023256115,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01 sp038733315,4
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01 sp038742305,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01 sp038997165,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01 sp038997305,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JAHLMO01,JAHLMO01 sp038997355,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JANXEB01,JANXEB01 sp025058985,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,JANXEB01,JANXEB01 sp039000985,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28 sp020832825,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28 sp025057985,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28 sp032249395,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28 sp036824555,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28 sp038996625,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,SpSt-28,SpSt-28,SpSt-28 sp039000725,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,CG10238-14,WAMV01,WAMV01,WAMV01 sp015522145,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,DAOWOJ01,DAOWOJ01,DAOWOJ01,DAOWOJ01 sp030642125,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,DATDUE01,DATDUE01,DATDUE01 sp035290505,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GCA-2688965,GCA-2688965,GCA-2688965 sp026058435,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,CAIKBN01,CAIKBN01 sp903825675,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp000806115,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp018304605,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp028279825,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp035289025,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp035289405,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp035290545,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp038045465,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp041645025,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,GW2011-AR5,GW2011-AR5 sp10154u,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPAG01,JACPAG01 sp016180945,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPAH01,JACPAH01 sp016180925,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPAH01,JACPAH01 sp016187365,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPDL01,JACPDL01 sp016184005,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPDL01,JACPDL01 sp018304565,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPJW01,JACPJW01 sp016187335,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPJW01,JACPJW01 sp016198625,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPRW01,JACPRW01 sp016193585,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPVU01,JACPVU01 sp016191585,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACPVU01,JACPVU01 sp026397375,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQID01,JACQID01 sp016198645,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQID01,JACQID01 sp016198685,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQID01,JACQID01 sp018304585,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQID01,JACQID01 sp035289125,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQID01,JACQID01 sp035290885,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQNW01,JACQNW01 sp016202845,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQNW01,JACQNW01 sp035290775,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JACQNX01,JACQNX01 sp016202875,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,GW2011-AR5,JAWCLW01,JAWCLW01 sp039091535,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRAC01,JACPJV01,JACPJV01 sp016187395,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRAC01,JACRAC01,JACRAC01 sp016213555,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRAC01,JACRAC01,JACRAC01 sp016219465,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRAC01,JAWCMQ01,JAWCMQ01 sp039091255,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRMX01,JACRMX01,JACRMX01 sp016219485,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JACRMX01,JAGVVW01,JAGVVW01 sp018304635,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JAGGXF01,JAGGVU01,JAGGVU01 sp021157845,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JAGGXF01,JAGGXF01,JAGGXF01 sp021163205,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JAGGXF01,JAGGXF01,JAGGXF01 sp029932645,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JAHLMP01,JAGGUE01,JAGGUE01 sp021158665,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JAHLMP01,JAHLMP01,JAHLMP01 sp018920315,5
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JAHLMP01,JAHLMP01,JAHLMP01 sp039000375,7
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,JAHLMP01,JAWCLB01,JAWCLB01 sp039091735,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,WALA01,WALA01,WALA01 sp015522745,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,GW2011-AR5,WALA01,WALA01,WALA01 sp015523085,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,JACPZZ01,JACPZZ01,JACPZZ01,JACPZZ01 sp016177205,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,JACPZZ01,JACPZZ01,JACPZZ01,JACPZZ01 sp016180965,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,JACPZZ01,JACPZZ01,JACPZZ01,JACPZZ01 sp016195275,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,JACPZZ01,JACPZZ01,JACPZZ01,JACPZZ01 sp016202795,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,JACPZZ01,JACPZZ01,JACPZZ01,JACPZZ01 sp016202815,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,B50-G16,B50-G16,B50-G16 sp003663345,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,JACQIF01,JACQIF01,JACQIF01 sp016198635,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,JACQIF01,JACQIF01,JACQIF01 sp016432325,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,JACRMZ01,JACRMZ01,JACRMZ01 sp016219455,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,JAGHBM01,JAGGZI01,JAGGZI01 sp021162085,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,JAGHBM01,JAGHBM01,JAGHBM01 sp021160955,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,JAGHBM01,JAGLWW01,JAGLWW01 sp020355185,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,JAGHBM01,JAGLWW01,JAGLWW01 sp023133195,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp003550625,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp003553905,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp003554235,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp003554845,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp003555465,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,PWEA01,PWEA01,PWEA01,PWEA01 sp022257805,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAADIF01,JAADIF01,JAADIF01 sp013151465,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAADIF01,JAADIF01,JAADIF01 sp016932735,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JACQNV01,JACQNV01,JACQNV01 sp016202865,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JACQNV01,JACQNV01,JACQNV01 sp035290825,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAFGSV01,JAFGFG01,JAFGFG01 sp016931255,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAFGSV01,JAFGFG01,JAFGFG01 sp020343635,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAFGSV01,JAFGFG01,JAFGFG01 sp021163005,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAFGSV01,JAFGFG01,JAFGFG01 sp028279705,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAFGSV01,JAFGSV01,JAFGSV01 sp016934325,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAFGSV01,JAUXKD01,JAUXKD01 sp030624445,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,JAUXAV01,JAUXAV01,JAUXAV01 sp030619735,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,BS750m-G24,BS750m-G24 sp016783545,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,BS750m-G81,BS750m-G81 sp016782405,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,DAOVFN01,DAOVFN01 sp030672885,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,DAOVIL01,DAOVIL01 sp030673725,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,GCA-020343575,GCA-020343575 sp020343575,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,GCA-020343575,GCA-020343575 sp030666115,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,GCA-020343575,GCA-020343575 sp030670085,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACPNN01,JACPNN01 sp016185435,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQIG01,JACQIG01 sp016198605,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQIG01,JACQIG01 sp016202745,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQOC01,JACQOC01 sp016202785,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQOD01,JACQOD01 sp016198585,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JACQOD01,JACQOD01 sp016202725,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAFCEK01,JAFCEK01 sp017609225,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAFCEM01,JAFCEM01 sp017609145,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAHIRU01,JAHIRU01 sp018818465,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAHIVW01,JAHIVW01 sp018816245,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAPLVB01,JAPLVB01 sp026397335,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAPLVB01,JAPLVB01 sp035256265,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAPLVB01,JAPLVB01 sp039091855,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAPLVB01,JAPLVB01 sp041481105,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,JAUWZW01,JAUWZW01 sp030615165,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZP01,QMZP01 sp003663225,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZY01,QMZY01 sp003663415,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZZ01,QMZZ01 sp003663445,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,QMZZ01,QMZZ01 sp038999435,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,VGIZ01,VGIZ01 sp016867675,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZP01,WAQT01,WAQT01 sp015520105,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,CS3-C152,CS3-C152 sp011772645,3
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,DAOWAL01,DAOWAL01 sp030634615,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JAFGDH01,JAFGDH01 sp016932215,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JAGGYQ01,JAGGYQ01 sp021162425,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JAZGEG01,JAZGEG01 sp023128965,2
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JAZGEG01,JAZGEG01 sp036478655,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JBGPQP01,JBGPQP01 sp026397315,1
Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZP01,QMZT01,JBGPQP01,JBGPQP01 sp041489155,2
