"","Sequence_ID","Cluster"
"58","DQ530361_0A_Rev_35612","10"
"59","EF462197_0A_Rev_36321","10"
"60","EF462199_0A_Rev_35597","10"
"61","GQ398772_0A_Rev_36609","10"
"62","GQ915271_0A_Rev_20890","10"
"63","KT809368_0A_Rev_17865","10"
"64","KY653125_0A_Rev_35483","10"
"65","MG029510_0A_Rev_32978","10"
"66","MG029512_0A_Rev_36535","10"
"67","MH384259_0A_Rev_35689","10"
"68","MH401416_0A_Rev_36244","10"
"69","MW924889_0A_Rev_17479","10"
"70","OM439664_0A_Rev_36408","10"
"71","OP136133_0A_Rev_35748","10"
"72","OP493557_0A_Rev_37329","10"
"73","OP493558_0A_Rev_36239","10"
"74","OQ687052_0A_Rev_18485","10"
"75","PQ281812_0A_Rev_36712","10"
"76","AB016282_0A_Rev_23858","11"
"77","HM072038_0A_Rev_23857","11"
"78","AB016282_0A_Fwd_15558","12"
"79","HM072038_0A_Fwd_15557","12"
"80","AB016282_0A_Fwd_23960","13"
"81","HM072038_0A_Fwd_23959","13"
"82","AB016282_0A_Rev_37897","14"
"83","HM072038_0A_Rev_37890","14"
"84","AB016282_0A_Fwd_779","15"
"85","HM072038_0A_Fwd_778","15"
"86","OM236514_0A_Fwd_805","15"
"87","AB036666_0A_Rev_9167","16"
"88","AB043678_0A_Fwd_3336","17"
"89","AB043679_0A_Fwd_3336","17"
"90","AB044554_0A_Rev_8269","18"
"91","AY954967_0A_Rev_32783","18"
"92","GQ900512_0A_Rev_4384","18"
"93","JX094501_0A_Rev_7680","18"
"94","KT809369_0A_Rev_31628","18"
"95","MT013111_0A_Rev_34746","18"
"96","MW627293_0A_Rev_34222","18"
"97","OM304856_0A_Rev_10293","18"
"98","ON856258_0A_Rev_14738","18"
"99","OQ578994_0A_Rev_8825","18"
"100","PQ281812_0A_Rev_9997","18"
"101","AB045978_0A_Rev_38256","19"
"102","AF424782_0A_Rev_42052","19"
"103","AP001553_0A_Rev_36142","19"
"104","AP009363_0A_Rev_42285","19"
"105","AP012341_0A_Rev_42189","19"
"106","AY954952_0A_Rev_20240","19"
"107","AY954953_0A_Rev_20348","19"
"108","AY954956_0A_Rev_21578","19"
"109","AY954957_0A_Rev_19752","19"
"110","AY954964_0A_Rev_19406","19"
"111","AY954965_0A_Rev_19483","19"
"112","CP062434_0A_Rev_20838","19"
"113","CP062442_0A_Rev_20814","19"
"114","CP062444_0A_Rev_20838","19"
"115","CP062461_0A_Rev_20838","19"
"116","DQ530359_0A_Rev_36720","19"
"117","DQ530360_0A_Rev_36714","19"
"118","DQ908929_0A_Rev_34487","19"
"119","EF462198_0A_Rev_44768","19"
"120","EU861005_0A_Rev_41457","19"
"121","HQ127381_0A_Rev_24765","19"
"122","JX174275_0A_Rev_21510","19"
"123","KF598856_0A_Rev_21270","19"
"124","KP893290_0A_Rev_36292","19"
"125","KT186243_0A_Rev_21509","19"
"126","KY056620_0A_Rev_21512","19"
"127","LC541428_0A_Rev_41174","19"
"128","MF580410_0A_Rev_41037","19"
"129","MG029509_0A_Rev_40275","19"
"130","MG029511_0A_Rev_41232","19"
"131","MG029513_0A_Rev_42665","19"
"132","MG029514_0A_Rev_41331","19"
"133","MG029515_0A_Rev_40616","19"
"134","MG029516_0A_Rev_41365","19"
"135","MG029517_0A_Rev_41365","19"
"136","MG029518_0A_Rev_41073","19"
"137","MG770897_0A_Rev_21359","19"
"138","MH321492_0A_Rev_20136","19"
"139","MH384261_0A_Rev_41456","19"
"140","MK348510_0A_Rev_21519","19"
"141","MK801680_0A_Rev_21520","19"
"142","MK940809_0A_Rev_41366","19"
"143","MT366568_0A_Rev_21508","19"
"144","OL690335_0A_Rev_21517","19"
"145","OM439662_0A_Rev_36793","19"
"146","OM439665_0A_Rev_43062","19"
"147","OM439667_0A_Rev_41698","19"
"148","OM439670_0A_Rev_36098","19"
"149","OM439672_0A_Rev_36446","19"
"150","OM439675_0A_Rev_37216","19"
"151","OM687507_0A_Rev_21509","19"
"152","ON856257_0A_Rev_8256","19"
"153","ON911717_0A_Rev_36335","19"
"154","ON989481_0A_Rev_40264","19"
"155","OP038318_0A_Rev_40264","19"
"156","OP038319_0A_Rev_40264","19"
"157","OP136131_0A_Rev_42465","19"
"158","OP136132_0A_Rev_40722","19"
"159","OP136134_0A_Rev_40798","19"
"160","OP328420_0A_Rev_41366","19"
"161","OP328421_0A_Rev_12576","19"
"162","OP328422_0A_Rev_45094","19"
"163","OP374154_0A_Rev_40264","19"
"164","OP374155_0A_Rev_40264","19"
"165","OP374156_0A_Rev_40264","19"
"166","OP584903_0A_Rev_41358","19"
"167","OP584904_0A_Rev_40904","19"
"168","OP661216_0A_Rev_40616","19"
"169","OP661217_0A_Rev_40616","19"
"170","OQ338183_0A_Rev_20838","19"
"171","OQ578993_0A_Rev_43354","19"
"172","OR206057_0A_Rev_29873","19"
"173","OR453397_0A_Rev_36434","19"
"174","OR453398_0A_Rev_36434","19"
"175","OR479082_0A_Rev_30307","19"
"176","PP098622_0A_Rev_36030","19"
"177","PP098625_0A_Rev_35801","19"
"178","PP357935_0A_Rev_19471","19"
"179","PP544178_0A_Rev_38577","19"
"180","AB045978_0A_Fwd_37009","20"
"181","AF424782_0A_Fwd_40806","20"
"182","AP009363_0A_Fwd_41039","20"
"183","AY954955_0A_Fwd_20263","20"
"184","AY954956_0A_Fwd_20332","20"
"185","CP062442_0A_Fwd_19568","20"
"186","CP062461_0A_Fwd_19592","20"
"187","EF462198_0A_Fwd_43522","20"
"188","KY056620_0A_Fwd_20266","20"
"189","LC779550_0A_Fwd_36348","20"
"190","MF580410_0A_Fwd_39791","20"
"191","MG029511_0A_Fwd_39986","20"
"192","MG029513_0A_Fwd_41419","20"
"193","MG029514_0A_Fwd_40085","20"
"194","MG029516_0A_Fwd_40119","20"
"195","MG029517_0A_Fwd_40119","20"
"196","MG029518_0A_Fwd_39827","20"
"197","MH384261_0A_Fwd_40210","20"
"198","MK348510_0A_Fwd_20273","20"
"199","MK801680_0A_Fwd_20274","20"
"200","MK940809_0A_Fwd_40120","20"
"201","OL690335_0A_Fwd_20271","20"
"202","OM439667_0A_Fwd_40452","20"
"203","ON856257_0A_Fwd_7010","20"
"204","ON989481_0A_Fwd_39018","20"
"205","OP038318_0A_Fwd_39018","20"
"206","OP038319_0A_Fwd_39018","20"
"207","OP136131_0A_Fwd_41219","20"
"208","OP136132_0A_Fwd_39476","20"
"209","OP136134_0A_Fwd_39552","20"
"210","OP328420_0A_Fwd_40120","20"
"211","OP328421_0A_Fwd_8045","20"
"212","OP328422_0A_Fwd_43848","20"
"213","OP374154_0A_Fwd_39018","20"
"214","OP374155_0A_Fwd_39018","20"
"215","OP374156_0A_Fwd_39018","20"
"216","OP584903_0A_Fwd_40112","20"
"217","OP584904_0A_Fwd_39658","20"
"218","OQ338183_0A_Fwd_19592","20"
"219","OQ578993_0A_Fwd_42108","20"
"220","PQ567070_0A_Fwd_11701","20"
"221","AB045978_0A_Fwd_11184","21"
"222","AB243556_0A_Fwd_12463","21"
"223","AB370205_0A_Fwd_10353","21"
"224","AF424783_0A_Fwd_10693","21"
"225","AP001553_0A_Fwd_11201","21"
"226","AP008953_0A_Fwd_10646","21"
"227","AP008954_0A_Fwd_10703","21"
"228","AP011955_0A_Fwd_12239","21"
"229","AP011956_0A_Fwd_12239","21"
"230","AY508486_0A_Fwd_33679","21"
"231","AY954951_0A_Fwd_36978","21"
"232","AY954952_0A_Fwd_37657","21"
"233","AY954953_0A_Fwd_39138","21"
"234","AY954961_0A_Fwd_36575","21"
"235","AY954966_0A_Fwd_36661","21"
"236","AY954967_0A_Fwd_35858","21"
"237","CP062422_0A_Fwd_36931","21"
"238","CP062426_0A_Fwd_33732","21"
"239","CP062430_0A_Fwd_39218","21"
"240","CP062435_0A_Fwd_32819","21"
"241","CP062445_0A_Fwd_32819","21"
"242","CP062451_0A_Fwd_18806","21"
"243","CP062457_0A_Fwd_33732","21"
"244","CP062462_0A_Fwd_36348","21"
"245","DQ517338_0A_Fwd_10278","21"
"246","DQ530359_0A_Fwd_10589","21"
"247","DQ530360_0A_Fwd_10584","21"
"248","DQ530362_0A_Fwd_10492","21"
"249","DQ908929_0A_Fwd_9786","21"
"250","JX094501_0A_Fwd_10545","21"
"251","KC595279_0A_Fwd_10861","21"
"252","KJ596420_0A_Fwd_11114","21"
"253","KP209285_0A_Fwd_7718","21"
"254","KR709303_0A_Fwd_10166","21"
"255","KT344895_0A_Fwd_10492","21"
"256","KT878766_0A_Fwd_35903","21"
"257","KY653125_0A_Fwd_10711","21"
"258","MH321492_0A_Fwd_37151","21"
"259","MK290764_0A_Fwd_10032","21"
"260","MT013111_0A_Fwd_37611","21"
"261","MZ041098_0A_Fwd_28246","21"
"262","OM439672_0A_Fwd_11650","21"
"263","OM439673_0A_Fwd_9616","21"
"264","OM439674_0A_Fwd_10131","21"
"265","ON571632_0A_Fwd_10628","21"
"266","OP136133_0A_Fwd_11365","21"
"267","OP136135_0A_Fwd_11027","21"
"268","OP947204_0A_Fwd_11541","21"
"269","OR453397_0A_Fwd_10160","21"
"270","OR453398_0A_Fwd_10160","21"
"271","PP098624_0A_Fwd_11002","21"
"272","PP197657_0A_Fwd_11087","21"
"273","AB045978_0A_Fwd_15369","22"
"274","AB231700_0A_Fwd_130016","23"
"275","KF356199_0A_Fwd_138331","23"
"276","PP681321_0A_Fwd_136003","23"
"277","PP681322_0A_Fwd_138003","23"
"278","PP681323_0A_Fwd_142431","23"
"279","PP681324_0A_Fwd_142430","23"
"280","AB231700_0A_Rev_107018","24"
"281","AB231700_0A_Fwd_143690","25"
"282","PP681321_0A_Fwd_150172","25"
"283","PP681323_0A_Fwd_156593","25"
"284","PP681324_0A_Fwd_156592","25"
"285","AB231700_0A_Rev_136234","26"
"286","AB231700_0A_Fwd_29734","27"
"287","AB231700_0A_Fwd_26099","28"
"288","AB243556_0A_Rev_9131","29"
"289","AY954950_0A_Rev_30873","29"
"290","DQ530360_0A_Rev_7252","29"
"291","KC595279_0A_Rev_7537","29"
"292","MH321492_0A_Rev_33819","29"
"293","AB243556_0A_Fwd_5369","30"
"294","AF424783_0A_Fwd_3581","30"
"295","AP011955_0A_Fwd_6448","30"
"296","AP011956_0A_Fwd_6448","30"
"297","EF462197_0A_Fwd_4314","30"
"298","EF462199_0A_Fwd_4279","30"
"299","FJ713816_0A_Fwd_6540","30"
"300","KJ596420_0A_Fwd_5365","30"
"301","KT809368_0A_Fwd_29968","30"
"302","KT809369_0A_Fwd_26943","30"
"303","KT878766_0A_Fwd_30154","30"
"304","KY653123_0A_Fwd_6401","30"
"305","KY653125_0A_Fwd_3599","30"
"306","MG029512_0A_Fwd_6136","30"
"307","MH401416_0A_Fwd_4908","30"
"308","MW924889_0A_Fwd_29582","30"
"309","OM439664_0A_Fwd_4762","30"
"310","OP136135_0A_Fwd_5278","30"
"311","OP493557_0A_Fwd_4749","30"
"312","OP493558_0A_Fwd_4749","30"
"313","OQ588745_0A_Fwd_35101","30"
"314","AB259123_0A_Fwd_5109","31"
"315","AB434711_0A_Fwd_5064","31"
"316","AB981170_0A_Fwd_5064","31"
"317","AB276040_0A_Rev_38087","32"
"318","AB276040_0A_Rev_38563","33"
"319","AB276040_0A_Rev_23544","34"
"320","AB981169_0A_Rev_28967","34"
"321","ON170026_0A_Rev_22360","34"
"322","ON170061_0A_Rev_22634","34"
"323","ON170070_0A_Rev_22360","34"
"324","ON170173_0A_Rev_24357","34"
"325","ON170213_0A_Rev_22757","34"
"326","ON170233_0A_Rev_22757","34"
"327","ON170235_0A_Rev_22757","34"
"328","ON170237_0A_Rev_22757","34"
"329","ON170241_0A_Rev_22757","34"
"330","ON170243_0A_Rev_22757","34"
"331","ON170258_0A_Rev_22634","34"
"332","ON170276_0A_Rev_22635","34"
"333","ON170348_0A_Rev_21830","34"
"334","AB276040_0A_Rev_32108","35"
"335","ON170026_0A_Rev_30130","35"
"336","ON170061_0A_Rev_30403","35"
"337","ON170070_0A_Rev_30130","35"
"338","ON170084_0A_Rev_18484","35"
"339","ON170258_0A_Rev_30386","35"
"340","ON170351_0A_Rev_18484","35"
"341","AB276040_0A_Fwd_33043","36"
"342","ON170026_0A_Fwd_31065","36"
"343","ON170061_0A_Fwd_31338","36"
"344","ON170070_0A_Fwd_31065","36"
"345","ON170084_0A_Fwd_19419","36"
"346","ON170258_0A_Fwd_31321","36"
"347","ON170351_0A_Fwd_19419","36"
"348","AB362338_0A_Fwd_34103","37"
"349","AB426868_0A_Fwd_34103","37"
"350","AF217253_0A_Fwd_15917","37"
"351","AF527608_0A_Fwd_34166","37"
"352","BK000583_0A_Fwd_34166","37"
"353","CP051279_0A_Fwd_29084","37"
"354","KX776161_0A_Fwd_5062","37"
"355","LC730322_0A_Fwd_34166","37"
"356","MG407615_0A_Fwd_6680","37"
"357","MH370387_0A_Fwd_16761","37"
"358","MK770414_0A_Fwd_13519","37"
"359","MK770415_0A_Fwd_9623","37"
"360","MK972685_0A_Fwd_34192","37"
"361","MK972686_0A_Fwd_32973","37"
"362","MK972687_0A_Fwd_24466","37"
"363","MN161573_0A_Fwd_34166","37"
"364","MT774487_0A_Fwd_32938","37"
"365","MT932212_0A_Fwd_32345","37"
"366","ON809756_0A_Fwd_33753","37"
"367","OP377721_0A_Fwd_12862","37"
"368","OP924285_0A_Fwd_35321","37"
"369","OQ031658_0A_Fwd_34166","37"
"370","AB362338_0A_Rev_36608","38"
"371","AB426868_0A_Rev_36608","38"
"372","AF217253_0A_Rev_18422","38"
"373","AF527608_0A_Rev_36671","38"
"374","BK000583_0A_Rev_36671","38"
"375","KX776161_0A_Rev_8322","38"
"376","LC730322_0A_Rev_36671","38"
"377","MH370364_0A_Rev_45731","38"
"378","MH370382_0A_Rev_46504","38"
"379","MH370383_0A_Rev_46506","38"
"380","MK770414_0A_Rev_17845","38"
"381","MK770415_0A_Rev_13949","38"
"382","MK972685_0A_Rev_38518","38"
"383","MK972686_0A_Rev_37299","38"
"384","MK972687_0A_Rev_28792","38"
"385","MN161573_0A_Rev_36671","38"
"386","MT932212_0A_Rev_34850","38"
"387","OP924285_0A_Rev_38092","38"
"388","OQ031658_0A_Rev_36671","38"
"389","AB362338_0A_Rev_7880","39"
"390","AB426868_0A_Rev_7880","39"
"391","AF217253_0A_Rev_31355","39"
"392","AF527608_0A_Rev_7880","39"
"393","BK000583_0A_Rev_7880","39"
"394","KU878967_0A_Rev_32034","39"
"395","KU927491_0A_Rev_32509","39"
"396","KU927492_0A_Rev_9022","39"
"397","KU927494_0A_Rev_9024","39"
"398","KU927495_0A_Rev_32005","39"
"399","KU927496_0A_Rev_31742","39"
"400","KU927498_0A_Rev_9011","39"
"401","LC730322_0A_Rev_7880","39"
"402","MK770414_0A_Rev_30295","39"
"403","MK770415_0A_Rev_26399","39"
"404","MK972685_0A_Rev_8968","39"
"405","MK972686_0A_Rev_7733","39"
"406","MK972687_0A_Rev_41242","39"
"407","MN161573_0A_Rev_7880","39"
"408","MT932212_0A_Rev_8158","39"
"409","OP924285_0A_Rev_10077","39"
"410","OQ031658_0A_Rev_7880","39"
"411","AB362338_0A_Fwd_6408","40"
"412","AB426868_0A_Fwd_6408","40"
"413","AF217253_0A_Fwd_29883","40"
"414","AF527608_0A_Fwd_6408","40"
"415","BK000583_0A_Fwd_6408","40"
"416","KU878967_0A_Fwd_30562","40"
"417","KU927491_0A_Fwd_31037","40"
"418","KU927492_0A_Fwd_7550","40"
"419","KU927494_0A_Fwd_7552","40"
"420","KU927495_0A_Fwd_30533","40"
"421","KU927496_0A_Fwd_30270","40"
"422","KU927498_0A_Fwd_7539","40"
"423","KX776161_0A_Fwd_19912","40"
"424","LC730322_0A_Fwd_6408","40"
"425","MK770414_0A_Fwd_28823","40"
"426","MK770415_0A_Fwd_24927","40"
"427","MK972685_0A_Fwd_7496","40"
"428","MK972686_0A_Fwd_6261","40"
"429","MK972687_0A_Fwd_39770","40"
"430","MK972688_0A_Fwd_12298","40"
"431","MK972689_0A_Fwd_38966","40"
"432","MN161573_0A_Fwd_6408","40"
"433","MT774487_0A_Fwd_6672","40"
"434","MT932212_0A_Fwd_6686","40"
"435","OP924285_0A_Fwd_8605","40"
"436","OQ031658_0A_Fwd_6408","40"
"437","AB366653_0A_Fwd_144098","41"
"438","AB366653_0A_Fwd_83880","42"
"439","AB366653_0A_Fwd_77710","43"
"440","AB366653_0A_Fwd_201127","44"
"441","AB366653_0A_Rev_74078","45"
"442","AB366653_0A_Fwd_110202","46"
"443","AB366653_0A_Fwd_187785","47"
"444","AB366653_0A_Fwd_151501","48"
"445","AB366653_0A_Rev_176955","49"
"446","AB366653_0A_Fwd_141284","50"
"447","AB366653_0A_Rev_62373","51"
"448","AB366653_0A_Rev_226225","52"
"449","AB366653_0A_Fwd_109187","53"
"450","AB366653_0A_Fwd_203836","54"
"451","AB366653_0A_Fwd_102429","55"
"452","AB366653_0A_Fwd_57783","56"
"453","AB366653_0A_Fwd_189174","57"
"454","AB366653_0A_Fwd_182847","58"
"455","AB366653_0A_Fwd_139752","59"
"456","AB366653_0A_Fwd_94952","60"
"457","AB366653_0A_Rev_157623","61"
"458","AB366653_0A_Fwd_52681","62"
"459","AB366653_0A_Rev_74105","63"
"460","AB366653_0A_Rev_58938","64"
"461","AB366653_0A_Fwd_159031","65"
"462","AB366653_0A_Fwd_163514","66"
"463","AB366653_0A_Rev_163543","67"
"464","AB366653_0A_Rev_214206","68"
"465","AB366653_0A_Fwd_141236","69"
"466","AB366653_0A_Rev_225703","70"
"467","AB366653_0A_Fwd_100432","71"
"468","AB366653_0A_Rev_58884","72"
"469","AB366653_0A_Rev_207304","73"
"470","AB366653_0A_Rev_87582","74"
"471","AB366653_0A_Rev_153768","75"
"472","AB366653_0A_Fwd_156538","76"
"473","AB366653_0A_Rev_40267","77"
"474","AB366653_0A_Fwd_220936","78"
"475","AB366653_0A_Fwd_93110","79"
"476","AB366653_0A_Rev_128876","80"
"477","AB366653_0A_Rev_1749","81"
"478","AB366653_0A_Rev_224446","82"
"479","AB366653_0A_Rev_221448","83"
"480","AB366653_0A_Rev_21968","84"
"481","AB366653_0A_Fwd_153058","85"
"482","AB366653_0A_Rev_41222","86"
"483","AB366653_0A_Rev_205777","87"
"484","AB366653_0A_Rev_213099","88"
"485","AB366653_0A_Rev_18437","89"
"486","AB366653_0A_Fwd_226601","90"
"487","AB370205_0A_Fwd_26290","91"
"488","AP008953_0A_Fwd_25661","91"
"489","AY954951_0A_Fwd_9540","91"
"490","DQ530360_0A_Fwd_26075","91"
"491","MK658834_0A_Fwd_8638","91"
"492","MK801682_0A_Fwd_31345","91"
"493","MK801683_0A_Fwd_29618","91"
"494","OM439666_0A_Fwd_24345","91"
"495","ON911714_0A_Fwd_26266","91"
"496","OR453399_0A_Fwd_24941","91"
"497","AB370205_0A_Fwd_23284","92"
"498","AB370205_0A_Fwd_30771","93"
"499","AF424781_0A_Fwd_30450","93"
"500","AP008953_0A_Fwd_30145","93"
"501","AY954951_0A_Fwd_14024","93"
"502","AY954952_0A_Fwd_14077","93"
"503","AY954953_0A_Fwd_14184","93"
"504","CP062451_0A_Fwd_37661","93"
"505","CP062454_0A_Fwd_29731","93"
"506","DQ517338_0A_Fwd_30328","93"
"507","DQ530359_0A_Fwd_30562","93"
"508","DQ530360_0A_Fwd_30556","93"
"509","GU477322_0A_Fwd_11605","93"
"510","HQ127381_0A_Fwd_18601","93"
"511","JX274647_0A_Fwd_29879","93"
"512","KC677663_0A_Fwd_24917","93"
"513","KJ716334_0A_Fwd_18137","93"
"514","MH321492_0A_Fwd_13978","93"
"515","MK658834_0A_Fwd_13122","93"
"516","MK801682_0A_Fwd_35826","93"
"517","MK801683_0A_Fwd_34099","93"
"518","MT013111_0A_Fwd_14015","93"
"519","OM439662_0A_Fwd_30629","93"
"520","OM439666_0A_Fwd_28829","93"
"521","OM439670_0A_Fwd_29934","93"
"522","OM439671_0A_Fwd_30983","93"
"523","OM439675_0A_Fwd_31052","93"
"524","ON911714_0A_Fwd_30750","93"
"525","ON911715_0A_Fwd_30687","93"
"526","ON911717_0A_Fwd_30171","93"
"527","ON911718_0A_Fwd_29667","93"
"528","OQ851348_0A_Fwd_27052","93"
"529","OR453397_0A_Fwd_30274","93"
"530","OR453398_0A_Fwd_30274","93"
"531","OR453399_0A_Fwd_29422","93"
"532","PP098623_0A_Fwd_30603","93"
"533","AB370268_0A_Fwd_24707","94"
"534","AY954962_0A_Fwd_7589","94"
"535","AY954963_0A_Fwd_7723","94"
"536","AY954964_0A_Fwd_7692","94"
"537","AY954965_0A_Fwd_7769","94"
"538","AY954966_0A_Fwd_7758","94"
"539","AY954967_0A_Fwd_7755","94"
"540","AY954968_0A_Fwd_7575","94"
"541","DQ908929_0A_Fwd_22773","94"
"542","KC595279_0A_Fwd_23492","94"
"543","KP893290_0A_Fwd_24836","94"
"544","KR709302_0A_Fwd_22513","94"
"545","KR709303_0A_Fwd_22946","94"
"546","MG564297_0A_Fwd_14977","94"
"547","MK211557_0A_Fwd_36158","94"
"548","OP594307_0A_Fwd_36163","94"
"549","PP098622_0A_Fwd_24316","94"
"550","AB370268_0A_Rev_38189","95"
"551","AP001553_0A_Rev_38093","95"
"552","AP008954_0A_Rev_38294","95"
"553","AY954952_0A_Rev_22215","95"
"554","AY954960_0A_Rev_21557","95"
"555","AY954961_0A_Rev_22282","95"
"556","AY954962_0A_Rev_21073","95"
"557","AY954963_0A_Rev_21204","95"
"558","AY954964_0A_Rev_21357","95"
"559","AY954965_0A_Rev_21434","95"
"560","AY954966_0A_Rev_21243","95"
"561","AY954967_0A_Rev_21240","95"
"562","AY954968_0A_Rev_21071","95"
"563","CP062422_0A_Rev_20908","95"
"564","CP062462_0A_Rev_20647","95"
"565","CP071049_0A_Rev_37391","95"
"566","DQ517338_0A_Rev_38467","95"
"567","DQ908929_0A_Rev_36438","95"
"568","JQ973847_0A_Rev_37577","95"
"569","JX094501_0A_Rev_37732","95"
"570","KC595279_0A_Rev_36983","95"
"571","KP209285_0A_Rev_35947","95"
"572","KP893289_0A_Rev_37893","95"
"573","KP893290_0A_Rev_38242","95"
"574","KR709302_0A_Rev_35994","95"
"575","KR709303_0A_Rev_36427","95"
"576","KT344895_0A_Rev_38573","95"
"577","MG564297_0A_Rev_28461","95"
"578","MK211557_0A_Rev_6136","95"
"579","MK290764_0A_Rev_38121","95"
"580","MW238767_0A_Rev_13821","95"
"581","MZ041098_0A_Rev_12555","95"
"582","OM439663_0A_Rev_38114","95"
"583","OM439669_0A_Rev_38247","95"
"584","OM439672_0A_Rev_38397","95"
"585","OM439673_0A_Rev_38569","95"
"586","OM439674_0A_Rev_37729","95"
"587","ON513432_0A_Rev_21397","95"
"588","ON571632_0A_Rev_38302","95"
"589","OP594307_0A_Rev_6136","95"
"590","OP947204_0A_Rev_37819","95"
"591","PP098621_0A_Rev_37776","95"
"592","PP098622_0A_Rev_37981","95"
"593","PP098624_0A_Rev_38794","95"
"594","PP098625_0A_Rev_37752","95"
"595","PP197657_0A_Rev_39800","95"
"596","PP314034_0A_Rev_38300","95"
"597","PP544178_0A_Rev_40528","95"
"598","AB370268_0A_Fwd_20116","96"
"599","AP001553_0A_Fwd_20017","96"
"600","AY954963_0A_Fwd_3132","96"
"601","KC595279_0A_Fwd_18901","96"
"602","KP893290_0A_Fwd_20245","96"
"603","KR709302_0A_Fwd_17922","96"
"604","KR709303_0A_Fwd_18355","96"
"605","AB370268_0A_Rev_7191","97"
"606","AB370268_0A_Fwd_26403","98"
"607","AY954963_0A_Fwd_9419","98"
"608","AY954966_0A_Fwd_9454","98"
"609","AY954967_0A_Fwd_9451","98"
"610","KC595279_0A_Fwd_25188","98"
"611","KR709302_0A_Fwd_24209","98"
"612","KR709303_0A_Fwd_24642","98"
"613","AB374228_0A_Rev_28781","99"
"614","KF361475_0A_Rev_30191","99"
"615","KU504502_0A_Rev_29170","99"
"616","KX058879_0A_Rev_29136","99"
"617","AB374228_0A_Rev_14340","100"
"618","KF361475_0A_Rev_15704","100"
"619","KU504502_0A_Rev_14725","100"
"620","KX058879_0A_Rev_14691","100"
"621","AB374228_0A_Rev_9313","101"
"622","KF361475_0A_Rev_10677","101"
"623","KU504502_0A_Rev_9698","101"
"624","KX058879_0A_Rev_9664","101"
"625","AB374228_0A_Fwd_1803","102"
"626","KF361475_0A_Fwd_3165","102"
"627","KU504502_0A_Fwd_2187","102"
"628","KX058879_0A_Fwd_2153","102"
"629","AB374228_0A_Fwd_21961","103"
"630","KF361475_0A_Fwd_23369","103"
"631","KU504502_0A_Fwd_22348","103"
"632","KX058879_0A_Fwd_22314","103"
"633","AB374228_0A_Rev_17493","104"
"634","KF361475_0A_Rev_18900","104"
"635","KU504502_0A_Rev_17879","104"
"636","KX058879_0A_Rev_17845","104"
"637","AB374228_0A_Fwd_25381","105"
"638","KF361475_0A_Fwd_26791","105"
"639","KU504502_0A_Fwd_25770","105"
"640","KX058879_0A_Fwd_25736","105"
"641","AB434711_0A_Rev_2700","106"
"642","AB981170_0A_Rev_2700","106"
"643","ON170277_0A_Rev_5057","106"
"644","AB451219_0A_Rev_8995","107"
"645","AB451219_0A_Fwd_23881","108"
"646","AB451219_0A_Rev_25097","109"
