,#phrog,Domain,#MS,#colMSA,#prot,#annot,Phrog_annot,Phrog_cat,RefSeq,pfam,FirstPfam,2ndPfam,KEGG,KO,KO_name,KO_ignore,GO,gene_name,KEEP,gene_name_final,reason
15,phrog_351,Bacteria:353,1019,1363,353,191,RNA polymerase sigma factor,transcription regulation,RNA polymerase sigma factor [n=57]…,PF07638.10&Sigma70_ECF ; ECF s…,PF07638,10&Sigma70_ECF ; ECF s…,"K03086&SIG1, rpoD&RNA poly…",K03086,"SIG1, rpoD",RNA poly…,GO:0003677 DNA binding !!!GO:00063…,"SIG1, rpoD",Y,SigA,
16,phrog_1358,Bacteria:109,1412,1675,109,52,FtsK/SpoIIIE-like protein,"moron, auxiliary metabolic gene and host takeover",FtsK [n=10]; FtsK/SpoIIIE family p…,PF09397.9&Ftsk_gamma ; Ftsk ga…,PF09397,9&Ftsk_gamma ; Ftsk ga…,"K03466&ftsK, spoIIIE&DNA s…",K03466,"ftsK, spoIIIE",DNA s…,GO:0000166 nucleotide binding !!!G…,"ftsK, spoIIIE",Y,"ftsK, spoIIIE",
17,phrog_3551,Bacteria:40,762,808,40,38,FtsK/SpoIIIE-like protein,"moron, auxiliary metabolic gene and host takeover",DNA translocase [n=9]; FtsK/SpoIII…,PF05872.11&DUF853 ; Bacterial …,PF05872,11&DUF853 ; Bacterial …,"K03466&ftsK, spoIIIE&DNA s…",K03466,"ftsK, spoIIIE",DNA s…,GO:0016020 membrane !!!GO:0003677 …,"ftsK, spoIIIE",Y,"ftsK, spoIIIE",
18,phrog_4339,Bacteria:31;Archaea:1,581,1055,32,23,NA,unknown function,heat shock protein [n=8]; ATP-depe…,PF03215.14&Rad17 ; Rad17 cell …,PF03215,14&Rad17 ; Rad17 cell …,"K03544&clpX, CLPX&ATP-depe…",K03544,"clpX, CLPX",ATP-depe…,GO:0006355 regulation of transcrip…,"clpX, CLPX",Y,"clpX, CLPX",
19,phrog_10856,Bacteria:9,325,353,9,5,sporulation protein,"moron, auxiliary metabolic gene and host takeover",sporulation protein YhbH [n=5]; hy…,PF04285.11&DUF444 ; Protein of…,PF04285,11&DUF444 ; Protein of…,K09786&K09786&uncharacteri…,K09786,K09786,uncharacteri…,GO:0030127 COPII vesicle coat !!!G…,K09786,N,K09786,unknown protein
20,phrog_11726,Bacteria:9,114,115,9,4,sporulation stage III protein D,"moron, auxiliary metabolic gene and host takeover",transcriptional regulator [n=3]; s…,PF07141.10&Phage_term_sma ; Pu…,PF07141,10&Phage_term_sma ; Pu…,K06283&spoIIID&putative De…,K06283,spoIIID,putative De…,GO:0006310 DNA recombination !!!GO…,spoIIID,Y,spoIIID,
21,phrog_16914,Bacteria:4;Archaea:1,200,228,5,4,sporulation protein,"moron, auxiliary metabolic gene and host takeover",secreted LysM/SCP-PR1 domain prote…,PF00188.25&CAP ; Cysteine-rich…,PF00188,25&CAP ; Cysteine-rich…,NA,NA,NA,NA,NA,sporulation protein,N,sporulation protein,no actual gene to reference
22,phrog_35646,Bacteria:2,93,93,2,2,sporulation protein,"moron, auxiliary metabolic gene and host takeover",stage V sporulation protein S [n=1…,PF04232.11&SpoVS ; Stage V spo…,PF04232,11&SpoVS ; Stage V spo…,K06416&spoVS&stage V sporu…,K06416,spoVS,stage V sporu…,NA,spoVS,Y,spoVS,
23,phrog_938,Bacteria:156,2298,2409,156,97,endolysin,lysis,cell wall hydrolase [n=40]; hypoth…,PF00719.18&Pyrophosphatase ; I…,PF00719,18&Pyrophosphatase ; I…,"K01449&E3.5.1.28C, cwlJ, sleB&…",K01449,"E3.5.1.28C, cwlJ, sleB",…,GO:0006508 proteolysis !!!GO:00044…,"E3.5.1.28C, cwlJ, sleB",Y,"cwlJ, sleB",
24,phrog_2649,Bacteria:54,401,529,54,53,endolysin,lysis,lysin A [n=31]; endolysin [n=6]; p…,PF01427.16&Peptidase_M15 ; D-a…,PF01427,16&Peptidase_M15 ; D-a…,K17733&cwlK&peptidoglycan …,K17733,cwlK,peptidoglycan …,GO:0008233 peptidase activity !!!G…,cwlK,Y,cwlK,
25,phrog_6810,Bacteria:17,189,190,17,1,spore coat protein,head and packaging,hypothetical protein [n=1]; protei…,PF05263.10&DUF722 ; Protein of…,PF05263,10&DUF722 ; Protein of…,NA,NA,NA,NA,NA,spore coat protein,N,spore coat protein,no actual gene to reference
26,phrog_10367,Bacteria:10,145,152,10,5,NA,unknown function,small acid-soluble spore protein […,"PF00269.19&SASP ; Small, acid-…",PF00269,"19&SASP ; Small, acid-…",K06420&sspC&small acid-sol…,K06420,sspC,small acid-sol…,GO:0003690 double-stranded DNA bin…,sspC,Y,sspC,
27,phrog_14642,Bacteria:7,215,222,7,7,endolysin,lysis,secreted N-acetylmuramyl-L-alanine…,PF07486.11&Hydrolase_2 ; Cell …,PF07486,11&Hydrolase_2 ; Cell …,"K01449&E3.5.1.28C, cwlJ, sleB&…",K01449,"E3.5.1.28C, cwlJ, sleB",…,GO:0016787 hydrolase activity,"E3.5.1.28C, cwlJ, sleB",Y,"cwlJ, sleB",
28,phrog_20780,Bacteria:4,117,118,4,1,NA,unknown function,hypothetical protein [n=3]; spore …,PF01476.19&LysM ; LysM domain&…,PF01476,19&LysM ; LysM domain&…,NA,NA,NA,NA,NA,NA,N,NA,no actual gene to reference
