Accession	Description	Classification	Genome Length (bp)	Jumbophage	molGC (%)	Molecule	Modification Date	Number CDS	Positive Strand (%)	Negative Strand (%)	Coding Capacity (%)	Low Coding Capacity Warning	tRNAs	Host	Lowest Taxa	Genus	Sub-family	Family	Order	Class	Phylum	Kingdom	Realm	Baltimore Group	Genbank Division	Isolation Host (beware inconsistent and nonsense values)
AP013549	uncultured phage_MedDCM-OCT-S39-C11	uncultured phage_MedDCM-OCT-S39-C11 Krakvirus S39C11 Krakvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41987	FALSE	51.556	DNA	03-JUN-2020	33	66.6666666666667	33.3333333333333	92.6286707790507	NA	0	Unspecified	Krakvirus	Krakvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013548	uncultured phage_MedDCM-OCT-S38-C3	uncultured phage_MedDCM-OCT-S38-C3 Stopalavirus S38C3 Stopalavirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43698	FALSE	57.064	DNA	03-JUN-2020	45	66.6666666666667	33.3333333333333	93.0591789097899	NA	0	Unspecified	Stopalavirus	Stopalavirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013547	uncultured phage_MedDCM-OCT-S31-C1	uncultured phage_MedDCM-OCT-S31-C1 Nohivirus S31C1 Nohivirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43552	FALSE	56.213	DNA	03-JUN-2020	42	42.8571428571429	57.1428571428571	91.9751102130786	NA	1	Unspecified	Nohivirus	Nohivirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013546	uncultured phage_MedDCM-OCT-S37-C6	uncultured phage_MedDCM-OCT-S37-C6 Oinezvirus S37C6 Oinezvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42127	FALSE	54.680	DNA	03-JUN-2020	47	51.063829787234	48.936170212766	90.3482327248558	NA	0	Unspecified	Oinezvirus	Oinezvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013545	uncultured phage MedDCM-OCT-S46-C10	uncultured phage MedDCM-OCT-S46-C10 Foussvirus S46C10 Foussvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	41803	FALSE	33.758	DNA	03-JUN-2020	51	100	0	90.0222472071382	NA	0	Unspecified	Foussvirus	Foussvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013544	uncultured phage_MedDCM-OCT-S45-C18	uncultured phage_MedDCM-OCT-S45-C18 Ayaqvirus S45C18 Ayaqvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40564	FALSE	47.086	DNA	03-JUN-2020	40	0	100	86.5077408539592	NA	0	Unspecified	Ayaqvirus	Ayaqvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013543	uncultured phage_MedDCM-OCT-S30-C28	uncultured phage_MedDCM-OCT-S30-C28 Fussvirus S30C28 Fussvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	37553	FALSE	32.405	DNA	03-JUN-2020	51	1.96078431372549	98.0392156862745	94.8126647671291	NA	1	Unspecified	Fussvirus	Fussvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013542	uncultured phage_MedDCM-OCT-S35-C6	uncultured phage_MedDCM-OCT-S35-C6 Pelagivirus S35C6 Pelagivirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42564	FALSE	33.813	DNA	03-JUN-2020	57	98.2456140350877	1.75438596491228	90.7809416408232	NA	0	Unspecified	Pelagivirus	Pelagivirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013541	uncultured phage_MedDCM-OCT-S42-C7	uncultured phage_MedDCM-OCT-S42-C7 Sieqvirus S42C7 Sieqvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	42399	FALSE	33.921	DNA	03-JUN-2020	51	98.0392156862745	1.96078431372549	88.0280195287625	NA	0	Unspecified	Sieqvirus	Sieqvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013540	uncultured phage_MedDCM-OCT-S28-C10	uncultured phage_MedDCM-OCT-S28-C10 Votkovvirus S28C10 Votkovvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	40866	FALSE	32.744	DNA	03-JUN-2020	54	100	0	94.0610776684775	NA	1	Unspecified	Votkovvirus	Votkovvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013539	uncultured phage_MedDCM-OCT-S28-C3	uncultured phage_MedDCM-OCT-S28-C3 Pedosvirus S28C3 Pedosvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	43444	FALSE	46.729	DNA	03-JUN-2020	50	2	98	92.0288187091428	NA	0	Unspecified	Pedosvirus	Pedosvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
AP013538	uncultured phage_MedDCM-OCT-S45-C4	uncultured phage_MedDCM-OCT-S45-C4 Ashivirus S45C4 Ashivirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	44705	FALSE	45.288	DNA	03-JUN-2020	54	0	100	91.1844312716698	NA	0	Unspecified	Ashivirus	Ashivirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
LR756511	uncultured phage	uncultured phage environmental samples Viruses	595163	TRUE	42.110	DNA	26-MAR-2020	1080	20.6481481481481	79.3518518518518	93.2482361974787	NA	62	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR756508	uncultured phage	uncultured phage environmental samples Viruses	484177	TRUE	39.553	DNA	26-MAR-2020	683	98.389458272328	1.61054172767204	89.6360215375782	NA	31	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR756504	uncultured phage	uncultured phage environmental samples Viruses	636363	TRUE	26.393	DNA	26-MAR-2020	920	51.9565217391304	48.0434782608696	92.7861927861928	NA	34	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR756503	uncultured phage	uncultured phage environmental samples Viruses	735411	TRUE	32.225	DNA	26-MAR-2020	1014	30.276134122288	69.723865877712	93.1132387195731	NA	56	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR756502	uncultured phage	uncultured phage environmental samples Viruses	642428	TRUE	31.472	DNA	26-MAR-2020	971	54.5829042224511	45.4170957775489	94.5251452302826	NA	45	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR756501	uncultured phage	uncultured phage environmental samples Viruses	735411	TRUE	32.225	DNA	26-MAR-2020	1014	30.276134122288	69.723865877712	93.1132387195731	NA	56	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR756500	uncultured phage	uncultured phage environmental samples Viruses	462018	TRUE	24.326	DNA	26-MAR-2020	672	23.5119047619048	76.4880952380952	91.974987987481	NA	26	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR745208	uncultured phage	uncultured phage environmental samples Viruses	485034	TRUE	55.114	DNA	26-MAR-2020	663	45.5505279034691	54.4494720965309	93.5388034653241	NA	35	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
LR745206	uncultured phage	uncultured phage environmental samples Viruses	634780	TRUE	29.181	DNA	26-MAR-2020	944	54.6610169491525	45.3389830508475	94.7268344938404	NA	57	Unspecified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	ENV	Unspecified
AY576273	Alphaproteobacteria phage PhiJL001	Alphaproteobacteria phage PhiJL001 Keylargovirus JL001 Keylargovirus Mesyanzhinovviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	63649	FALSE	62.122	DNA	05-DEC-2019	88	100	0	95.5207465946048	NA	0	Alphaproteobacteria	Keylargovirus	Keylargovirus	Unclassified	Mesyanzhinovviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
MN335248	Vibrio phage XacF13	Vibrio phage XacF13 Xylivirus XacF13 Xylivirus Inoviridae Tubulavirales Faserviricetes Hofneiviricota Loebvirae Monodnaviria Viruses	7045	FALSE	60.298	ss-DNA	21-OCT-2019	13	84.6153846153846	15.3846153846154	88.8289567068843	NA	0	Vibrio	Xylivirus	Xylivirus	Unclassified	Inoviridae	Tubulavirales	Faserviricetes	Hofneiviricota	Loebvirae	Monodnaviria	Group II	ENV	Xanthomonas vesicatoria
MK250029	Prevotella phage Lak-C1	Prevotella phage Lak-C1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	540217	TRUE	25.796	DNA	13-JAN-2019	830	47.1084337349398	52.8915662650602	68.3249508993608	NA	30	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250028	Prevotella phage Lak-B9	Prevotella phage Lak-B9 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	550053	TRUE	26.012	DNA	13-JAN-2019	859	52.2700814901048	47.7299185098952	69.1884236609927	NA	29	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250027	Prevotella phage Lak-B8	Prevotella phage Lak-B8 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	551627	TRUE	26.022	DNA	13-JAN-2019	860	53.0232558139535	46.9767441860465	69.318760684303	NA	33	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250026	Prevotella phage Lak-B7	Prevotella phage Lak-B7 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	550702	TRUE	26.020	DNA	13-JAN-2019	859	53.2013969732247	46.7986030267753	69.3632854066264	NA	33	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250025	Prevotella phage Lak-B6	Prevotella phage Lak-B6 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	546689	TRUE	26.029	DNA	13-JAN-2019	847	52.6564344746163	47.3435655253837	69.1182738266181	NA	30	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250024	Prevotella phage Lak-B5	Prevotella phage Lak-B5 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	543529	TRUE	26.053	DNA	13-JAN-2019	844	52.7251184834123	47.2748815165877	69.2310805863165	NA	31	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250023	Prevotella phage Lak-B4	Prevotella phage Lak-B4 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	550552	TRUE	26.019	DNA	13-JAN-2019	852	53.169014084507	46.830985915493	69.0677719815749	NA	33	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250022	Prevotella phage Lak-B3	Prevotella phage Lak-B3 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	546746	TRUE	26.032	DNA	13-JAN-2019	846	52.6004728132388	47.3995271867612	69.2789704908678	NA	30	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250021	Prevotella phage Lak-B2	Prevotella phage Lak-B2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	549839	TRUE	25.986	DNA	13-JAN-2019	851	52.7614571092832	47.2385428907168	68.9872853689898	NA	33	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250020	Prevotella phage Lak-B1	Prevotella phage Lak-B1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	547991	TRUE	26.031	DNA	13-JAN-2019	855	52.1637426900585	47.8362573099415	69.2358086172948	NA	29	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250019	Prevotella phage Lak-A2	Prevotella phage Lak-A2 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	541299	TRUE	25.968	DNA	13-JAN-2019	850	49.1764705882353	50.8235294117647	69.1213174234573	NA	31	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250018	Prevotella phage Lak-A1	Prevotella phage Lak-A1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	541644	TRUE	25.878	DNA	13-JAN-2019	852	49.8826291079812	50.1173708920188	69.0117494147447	NA	32	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250017	Prevotella phage Lak-A1	Prevotella phage Lak-A1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	541724	TRUE	25.880	DNA	13-JAN-2019	855	49.7076023391813	50.2923976608187	69.1826465137229	NA	32	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250016	Prevotella phage Lak-A1	Prevotella phage Lak-A1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	541643	TRUE	25.879	DNA	13-JAN-2019	855	49.8245614035088	50.1754385964912	69.1952079136996	NA	32	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
MK250015	Prevotella phage Lak-A1	Prevotella phage Lak-A1 Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	541664	TRUE	25.877	DNA	13-JAN-2019	854	49.8829039812646	50.1170960187354	69.0618169197141	NA	32	Prevotella	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Prevotella sp.
KX397280	Phage MedPE-SWcel-C56	Phage MedPE-SWcel-C56 Kafavirus SWcelC56 Kafavirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	45260	FALSE	55.508	DNA	09-NOV-2016	52	100	0	91.9222271321255	NA	0	Unspecified	Kafavirus	Kafavirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	alphaproteobacteria
MG592615	Vibrio phage 1.249.A._10N.261.55.B9	Vibrio phage 1.249.A._10N.261.55.B9 Livvievirus viph1249a Livvievirus Autolykiviridae Tectiliviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses	10611	FALSE	46.555	DNA	24-JAN-2018	22	72.7272727272727	27.2727272727273	94.7695787390444	NA	0	Vibrio	Livvievirus	Livvievirus	Unclassified	Autolykiviridae	Unclassified	Tectiliviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria	Group I	VRL	Vibrio cyclitrophicus
MG592455	Vibrio phage 1.080.O._10N.286.48.A4	Vibrio phage 1.080.O._10N.286.48.A4 Paulavirus viph1080o Paulavirus Autolykiviridae Tectiliviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses	10046	FALSE	41.191	DNA	24-JAN-2018	19	73.6842105263158	26.3157894736842	89.8865219988055	NA	0	Vibrio	Paulavirus	Paulavirus	Unclassified	Autolykiviridae	Unclassified	Tectiliviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria	Group I	VRL	Vibrio lentus
MG592427	Vibrio phage 1.044.O._10N.261.51.B8	Vibrio phage 1.044.O._10N.261.51.B8 Paulavirus viph1044o Livvievirus Autolykiviridae Tectiliviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses	10272	FALSE	41.793	DNA	24-JAN-2018	21	71.4285714285714	28.5714285714286	91.2967289719626	NA	0	Vibrio	Livvievirus	Livvievirus	Unclassified	Autolykiviridae	Unclassified	Tectiliviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria	Group I	VRL	Vibrio lentus
MG592402	Vibrio phage 1.020.O._10N.222.48.A2	Vibrio phage 1.020.O._10N.222.48.A2 Paulavirus viph1020o Paulavirus Autolykiviridae Tectiliviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses	10636	FALSE	43.663	DNA	24-JAN-2018	21	66.6666666666667	33.3333333333333	90.2594960511471	NA	0	Vibrio	Paulavirus	Paulavirus	Unclassified	Autolykiviridae	Unclassified	Tectiliviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria	Group I	VRL	Vibrio tasmaniensis
MG592394	Vibrio phage 1.008.O._10N.286.54.E5	Vibrio phage 1.008.O._10N.286.54.E5 Paulavirus viph1008o Paulavirus Autolykiviridae Tectiliviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses	10579	FALSE	43.331	DNA	24-JAN-2018	21	66.6666666666667	33.3333333333333	89.2711976557331	NA	0	Vibrio	Paulavirus	Paulavirus	Unclassified	Autolykiviridae	Unclassified	Tectiliviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria	Group I	VRL	Vibrio cyclitrophicus
MF361639	Flavobacterium phage FLiP	Flavobacterium phage FLiP Finnlakevirus FLiP Finnlakevirus Finnlakeviridae Lautamovirales Ainoaviricetes Preplasmiviricota Bamfordvirae Varidnaviria Viruses	9174	FALSE	34.184	DNA	03-AUG-2017	16	100	0	85.0228907782865	NA	0	Flavobacterium	Finnlakevirus	Finnlakevirus	Unclassified	Finnlakeviridae	Lautamovirales	Ainoaviricetes	Preplasmiviricota	Bamfordvirae	Varidnaviria	Group I	PHG	Flavobacterium sp. B330
GU943031	uncultured phage MedDCM-OCT-S08-C159	uncultured phage MedDCM-OCT-S08-C159 Jalkavirus S08C159 Jalkavirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	10313	FALSE	37.496	DNA	25-JUL-2016	13	0	100	80.0833898962475	NA	0	Unspecified	Jalkavirus	Jalkavirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	ENV	Unspecified
JX625144	Enterobacteria phage M	Enterobacteria phage M Empivirus allolyticum Empivirus Fiersviridae Norzivirales Leviviricetes Lenarviricota Orthornavirae Riboviria Viruses	3405	FALSE	47.959	RNA	29-NOV-2012	3	100	0	92.5991189427313	NA	0	Enterobacteria	Empivirus	Empivirus	Unclassified	Fiersviridae	Norzivirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria	Group IV	PHG	Unspecified
HM208303	Escherichia phage vB_EcoP_24B	Escherichia phage vB_EcoP_24B Traversvirus tv24B Traversvirus Sepvirinae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	57677	FALSE	49.680	DNA	20-AUG-2012	76	67.1052631578947	32.8947368421053	90.3150302546942	NA	3	Escherichia	Traversvirus	Traversvirus	Sepvirinae	Unclassified	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	SYN	Escherichia coli O157:H7
HQ633062	Synechococcus phage S-CBP3	Synechococcus phage S-CBP3 Lirvirus SCBP3 Lirvirus Autographiviridae Caudoviricetes Uroviricota Heunggongvirae Duplodnaviria Viruses	47375	FALSE	46.677	DNA	30-MAY-2012	58	100	0	90.4379947229552	NA	0	Synechococcus	Lirvirus	Lirvirus	Unclassified	Autographiviridae	Unclassified	Caudoviricetes	Uroviricota	Heunggongvirae	Duplodnaviria	Group I	HTG	Unspecified
HM066936	Caulobacter phage phiCb5	Caulobacter phage phiCb5 Cebevirus halophobicum Cebevirus Steitzviridae Timlovirales Leviviricetes Lenarviricota Orthornavirae Riboviria Viruses	3762	FALSE	50.532	RNA	19-APR-2011	3	100	0	93.6204146730462	NA	0	Caulobacter	Cebevirus	Cebevirus	Unclassified	Steitzviridae	Timlovirales	Leviviricetes	Lenarviricota	Orthornavirae	Riboviria	Group IV	VRL	Caulobacter crescentus
