"","gene_name","Class","Stage","description","function.","product","essential"
"25","sigG",NA,NA,"[wiki|RNA polymerase] [wiki|sporulation] forespore-specific (late) [wiki|sigma factor] SigG","transcription of [wiki|sporulation] genes (late forespore)","[wiki|RNA polymerase] [wiki|sporulation] forespore-specific (late) [wiki|sigma factor] SigG","no"
"26","sigH","Sporulation Initiation","Initiation","[wiki|RNA polymerase] [wiki|sigma factor] SigH, not fully active in laboratory strains due to a mutation (V117A)","transcription of early stationary phase genes ([wiki|sporulation], competence)","[wiki|RNA polymerase] [wiki|sigma factor] SigH","no"
"27","spoIIIE","Partitioning","Commitment","ATP-dependent dsDNA translocase, resolution of chromosomal dimers after [wiki|DNA replication], coordinates chromosome segregation and peptidoglycan remodeling during sporulation, transports the forespore chromosome across the [wiki|sporulation] septum","chromosome partition during [wiki|sporulation]","ATP-dependent dsDNA translocase required for chromosome partition","no"
"28","spoIIQ",NA,NA,"component of the [[protein|00BDD4E3370DB3A9F4D75FE265A2A8DF05185CCC]]-[[protein|3282D2C25468776881778006F182FCF322C4821D]] type III secretion system residing in the forespore membrane, required for anchoring of proteins on both sides of the sporulation septum, required for localization and stability of [[protein|7C8DFE00A2B2B30CC8BEB35055D92CC2E4128F3A]]","forespore encasement by the spore coat","part of the transmembrane channel linking the mother cell and the forespore","no"
"29","spoIVCA","Sigma Regulator","Commitment","site-specific DNA recombinase required for creating the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene (excision of the [[category|SW.5.1.3]])","excision of the [[category|SW.5.1.3]], creation of the [[gene|24F7FD5C7C3A68BB2760ABB8CBD8FBD65E5FF7D4]] gene","site-specific DNA recombinase","no"
"30","spoVG","Sporulation Initiation","Initiation","RNA-binding regulatory protein, negative effector of asymetric septation at the onset of sporulation","cell division, control of sporulation initiation","negative effector of asymetric septation","no"
"31","sspB",NA,NA,"small acid-soluble spore protein (major beta-type SASP)","protection of spore DNA","small acid-soluble spore protein (major beta-type SASP)","no"
"32","sspC","DNA Protection","Engulfment","small acid-soluble spore protein (minor alpha/beta-type SASP)","protection of spore DNA","small acid-soluble spore protein (minor alpha/beta-type SASP)","no"
"33","xerD","Partitioning","Unknown","site-specific integrase/recombinase, partitioning of the terminus region after replication, terminus-specific unloader of translocating SMC complexes","chromosome partitioning, unloading of SMC complexes","site-specific integrase/recombinase","no"
"34","ycgL","Unknown","Engulfment","unknown","unknown","unknown","no"
"35","yclG",NA,NA,"unknown","unknown","unknown","no"
"36","yhbB",NA,NA,"spore coat protein, amidase","unknown","amidase","no"
"37","yhbH","Unknown","Commitment","[[protein|3CB24D493B3282278B7DC61CE3C793DFA815F9E2]]-dependent [wiki|sporulation] gene","[[category|SW.4.2]]","unknown","no"
"38","yjbA",NA,NA,NA,NA,NA,NA
"39","ylaK","Unknown","Commitment","similar to phosphate starvation inducible protein [[protein|6BF4F99DEF2E032A8547B920086305775D04FACF]]","unknown","unknown","no"
"40","yoaM",NA,NA,"unknown","unknown","unknown","no"
"41","yqaN",NA,NA,"unknown, skin element","unknown","unknown","no"
"42","yuiC",NA,NA,"stationary phase survival protein, sporulation protein, putative cell wall hydrolase (N-acetylglucosamidase)","unknown","stationary phase survival protein, sporulation protein","no"
"43","ywqJ",NA,NA,"LXG toxin","unknown","LXG toxin","no"
