"","spor_gene_name","type","func"
"15088","spoVT",NA,NA
"15102","sprB",NA,NA
"15107","spsI",NA,NA
"15114","sspB","DNA-modifying","DNA processing"
"15127","sspC","DNA-modifying","DNA processing"
"15150","sspC1",NA,NA
"15156","sspD",NA,NA
"15160","sub1",NA,NA
"15164","subtilisin BL (EC 3.4.21.62) (Alkaline protease)",NA,NA
"15169","swsB",NA,NA
"15174","tauA",NA,NA
"15178","tauC",NA,NA
"15190","tepA",NA,NA
"15210","tesA",NA,NA
"15295","trxA",NA,NA
"15342","xlyA",NA,NA
"15383","xlyB",NA,NA
"15448","yaaH",NA,NA
"15462","yajL",NA,NA
"15471","yclG","Unknown","Unknown"
"15593","yhaM",NA,NA
"15606","yhbB","Lysin","Spore coat"
"15624","yhbH","Unknown","Unknown"
"15652","yhxC",NA,NA
"15660","yitB","Metabolic","Sulfate reduction"
"15956","yjbA","protein adaptor","protein degradation"
"16007","ykoT",NA,NA
"16009","ykoV",NA,NA
"16012","ykwD",NA,NA
"16018","ylaK","starvation protein","phosphate starvation protein"
"16432","yloB",NA,NA
"16466","yoaM","Unknown","Unknown"
"16497","yoaW",NA,NA
"16506","yokU",NA,NA
"16507","yozE",NA,NA
"16516","ypeP","Unknown","Unknown"
"16579","yqaN","Unknown","Unknown"
"16961","yqaO",NA,NA
"16964","yqhH","DNA-modifying","DNA processing"
"17039","yqhQ",NA,NA
"17042","yqjB",NA,NA
"17043","yrbD",NA,NA
"17045","yrkC",NA,NA
"17053","ytcA",NA,NA
"17060","ytdA",NA,NA
"17063","ytkC",NA,NA
"17073","ytlA",NA,NA
"17082","ytlC",NA,NA
"17090","ytxC",NA,NA
"17092","yugO",NA,NA
"17121","yugT",NA,NA
"17122","yuiC","RPF-like","Lysin"
"17233","yutG",NA,NA
"17253","ywjD",NA,NA
"17262","ywqJ","Toxin","Toxin"
"17286","yxjF",NA,NA
"17291","yyaC",NA,NA
"17298","yycO",NA,NA
